Academy High School, Thornton
Academy of Charter Schools, Westminster
Adams City High School, Commerce City
Adams Youth Service Center, Brighton
Belleview Christian School, Westminster
Bennett High School, Bennett
Brighton Heritage Academy, Brighton
Brighton High School, Brighton
Cedar Wood Christian Academy, Aurora
Colorado Virtual Academy (cova), Northglenn
Community Christian, Northglenn
Cornerstone Christian Academy, Westminster
Eagle Ridge Academy, Brighton
Early College Of Arvada, Arvada
Elmwood Baptist Academy, Brighton
Global Leadership Academy, Sherrelwood
Goal Academy, Westminster
Hidden Lake High School, Westminster
Horizon High School, Brighton
Lester R Arnold High School, Commerce City
Life Christian Academy, Westminster
Mapleton Early College High School, Thornton
Mapleton Expeditionary School Of The Arts, Thornton
Mountain Range High School, Westminster
North Valley School For Young Adults, Thornton
Northglenn High School, Northglenn
Options School, Aurora
Pathways Future Center, Thornton
Prairie Creeks Charter School, Strausburg
Prairie View High School, Henderson
Riverdale Ridge High School, Thornton
Rocky Mountain Lutheran High School, Federal Heights
Strasburg High School, Strausburg
The New America School, Thornton
The Pinnacle Charter School High School, Federal Heights
Thornton High School, Thornton
Vantage Point, Northglenn
Westgate Charter, Northglenn
Westminster High School, Westminster
York International, Thornton
Alamosa High School, Alamosa
Alamosa Ombudsman School Of Excellence, Alamosa
Sangre De Cristo Undivided High School, Mosca
Arapahoe High School, Centennial
Aurora Central High School, Aurora
Aurora West College Preparatory Academy, Aurora
Byers High School, Byers
Calvary Apostolic Academy, Holly Hills
Cherokee Trail High School, Aurora
Cherry Creek High School, Greenwood Village
Colorado Provost Academy, Greenwood Village
Colorado's Finest Alternative High School, Englewood
Deer Trail High School, Deer Trail
Denver Jewish Day School, Aurora
Eaglecrest High School, Aurora
Englewood High School, Englewood
Englewood Leadership Academy, Englewood
Englewood Middle School, Englewood
Gateway High School, Aurora
Grandview High School, Aurora
Great Plains Academy, Byers
Heritage High School, Littleton
Hinkley High School, Aurora
Humanex Academy, Englewood
Kent Denver School, Cherry Hills Village
Littleton High School, Littleton
Lotus School For Excellence, Aurora
Options School, Aurora
Our Lady Help Of Christians Academy, Watkins
Overland High School, Aurora
Rangeview High School, Aurora
Regis Jesuit High School, Aurora
Ridge View Academy Charter School, Watkins
Rock Solid High School, Littleton
Sheridan High School, Sheridan
Smoky Hill High School, Aurora
St Mary's Academy, Cherry Hills Village
